"","time","posX","posY","orientation","X00.14.bf.b1.97.8a","X00.0f.a3.39.e1.c0","X00.14.bf.3b.c7.c6","X00.14.bf.b1.97.81","X00.14.bf.b1.97.8d","X00.14.bf.b1.97.90","X00.0f.a3.39.dd.cd","nas","posXY","angle","predx","predy"
"1","1139693255164",0.47,8.2,5.8,-45,-48,-60,-71,-62,-46,-72,0,"0.47-8.2",0,1.36517336621079,8.47709022237664
"2","1139693255416",0.47,8.2,5.8,-45,-48,-62,-56.6546902475314,-57,-50,-72,1,"0.47-8.2",0,1.20685494703775,3.61284552460685
"3","1139693255668",0.47,8.2,5.8,-46,-49,-80,-68,-64,-48,-76,0,"0.47-8.2",0,0.864147176853033,11.2449298638192
"4","1139693255920",0.47,8.2,5.8,-56.4354204773103,-49,-60.0102496192809,-56.6546902475314,-66,-66.2612341491531,-68,4,"0.47-8.2",0,10.999684258753,5.95582758064252
"5","1139693256172",0.47,8.2,5.8,-44,-48,-60.0102496192809,-56.6546902475314,-54.8630723149337,-66.2612341491531,-70,4,"0.47-8.2",0,3.65481915307181,3.02736945286929
"6","1139693256424",0.47,8.2,5.8,-45,-48,-61,-72,-54.8630723149337,-47,-78,1,"0.47-8.2",0,1.1139492848845,8.64332643399141
"7","1139693256676",0.47,8.2,5.8,-45.5,-48,-74,-72,-66,-51,-75,0,"0.47-8.2",0,0.558094436650388,9.89483945073895
"8","1139693256928",0.47,8.2,5.8,-46,-49,-73,-71,-65,-49,-74,0,"0.47-8.2",0,0.842741930834127,9.5834892463516
"9","1139693257180",0.47,8.2,5.8,-46,-50,-75,-72,-66,-50.5,-79,0,"0.47-8.2",0,0.805082905256988,10.058309202606
"10","1139693257432",0.47,8.2,5.8,-45.5,-50,-61,-73,-65,-47,-78,0,"0.47-8.2",0,1.09007910051534,8.93215087632803
"11","1139693257684",0.47,8.2,5.8,-56.4354204773103,-49,-73.5,-71,-65,-51,-74,1,"0.47-8.2",0,0.970772109898447,8.59701061657681
"12","1139693257936",0.47,8.2,5.8,-44.5,-50,-60.0102496192809,-72,-65,-69,-73,1,"0.47-8.2",0,1.19510380619183,2.85886386272025
"13","1139693258188",0.47,8.2,5.8,-45,-51,-62,-72,-56,-48,-74,0,"0.47-8.2",0,1.11036339784491,8.95686952583151
"14","1139693258440",0.47,8.2,5.8,-45,-50,-62,-56.6546902475314,-57,-52,-74,1,"0.47-8.2",0,1.4347088610829,3.83161225929504
"15","1139693258692",0.47,8.2,5.8,-45,-51,-62,-56.6546902475314,-65,-50,-71,1,"0.47-8.2",0,1.18332445378672,4.05737594611913
"16","1139693258944",0.47,8.2,5.8,-45.5,-50,-61,-73,-54.8630723149337,-47,-76,1,"0.47-8.2",0,1.11341729934272,8.82942652061111
"17","1139693259196",0.47,8.2,5.8,-46,-50,-62,-56.6546902475314,-57,-66.2612341491531,-74,2,"0.47-8.2",0,3.65620746827991,3.7353172167951
"18","1139693259448",0.47,8.2,5.8,-45,-49,-63,-73,-56,-53,-70,0,"0.47-8.2",0,1.4900773018651,6.48738437042055
"19","1139693259700",0.47,8.2,5.8,-56.4354204773103,-49,-61,-73,-57,-47,-71,1,"0.47-8.2",0,1.69118917965702,7.2414554747808
"20","1139693259952",0.47,8.2,5.8,-46,-49,-62,-56.6546902475314,-54.8630723149337,-49,-74,2,"0.47-8.2",0,1.44987230607966,3.59305210053514
"21","1139693260204",0.47,8.2,5.8,-44,-49,-61,-68,-66,-53,-77,0,"0.47-8.2",0,0.709083976253971,4.38475325935529
"22","1139693260456",0.47,8.2,5.8,-46,-50,-75,-74,-67,-50,-76,0,"0.47-8.2",0,0.812883895291384,11.6576543737383
"23","1139693260708",0.47,8.2,5.8,-46,-50,-60.0102496192809,-72,-62,-50,-77,1,"0.47-8.2",0,0.833477884561747,6.74128944325349
"24","1139693260960",0.47,8.2,5.8,-56.4354204773103,-50,-60.0102496192809,-76,-54.8630723149337,-47,-75,3,"0.47-8.2",0,1.40508761875247,7.90601895868997
"25","1139693261212",0.47,8.2,5.8,-44,-49,-62,-70,-66,-66.2612341491531,-75,1,"0.47-8.2",0,1.10909484280068,4.69317637598797
"26","1139693261464",0.47,8.2,5.8,-44,-49,-60.0102496192809,-77,-54.8630723149337,-45,-77,2,"0.47-8.2",0,0.87514678894136,8.90454270280989
"27","1139693261716",0.47,8.2,5.8,-56.4354204773103,-49,-62,-71,-60,-52,-77,1,"0.47-8.2",0,0.86005049182217,7.7184372548461
"28","1139693261968",0.47,8.2,5.8,-44,-49,-62,-56.6546902475314,-54.8630723149337,-66.2612341491531,-74,3,"0.47-8.2",0,3.97800026513918,3.74311521447706
"29","1139693262220",0.47,8.2,5.8,-46,-49,-75,-68,-54.8630723149337,-44,-77,1,"0.47-8.2",0,1.17053901920261,9.40139611723381
"30","1139693262472",0.47,8.2,5.8,-47,-49,-62,-70,-64,-47,-75,0,"0.47-8.2",0,0.889347678511365,7.88131582676436
"31","1139693262724",0.47,8.2,5.8,-47,-49,-61,-56.6546902475314,-61,-50,-75,1,"0.47-8.2",0,1.0349206623095,2.65227127604421
"32","1139693262976",0.47,8.2,5.8,-45,-49,-61,-77,-64,-52,-74,0,"0.47-8.2",0,0.446187068168924,6.9633551840996
"33","1139693263228",0.47,8.2,5.8,-44.5,-49,-75,-56.6546902475314,-64,-47,-75,1,"0.47-8.2",0,1.15222075817448,5.26534467197862
"34","1139693263480",0.47,8.2,5.8,-46,-49,-61,-72,-54.8630723149337,-48,-76,1,"0.47-8.2",0,1.11363611485271,8.67412308622976
"35","1139693263732",0.47,8.2,5.8,-46,-48,-60.0102496192809,-74,-54.8630723149337,-66.2612341491531,-74,3,"0.47-8.2",0,2.25641469416026,3.84568334932106
"36","1139693263984",0.47,8.2,5.8,-44,-49,-63,-73,-67,-45,-75,0,"0.47-8.2",0,1.11617974943602,9.20276192149347
"37","1139693264236",0.47,8.2,5.8,-44,-49,-60.0102496192809,-71,-54.8630723149337,-47,-75,2,"0.47-8.2",0,1.00566150054565,8.74460584319942
"38","1139693264488",0.47,8.2,5.8,-45,-49,-62,-73,-57,-53,-75,0,"0.47-8.2",0,0.699518936876164,6.72056179259969
"39","1139693264740",0.47,8.2,5.8,-45,-52,-60,-75,-58,-54,-74,0,"0.47-8.2",0,0.569061961525282,6.98527587213458
"40","1139693264992",0.47,8.2,5.8,-45,-51,-60.0102496192809,-73,-69,-48,-75,1,"0.47-8.2",0,0.845033665612206,9.11635660532579
"41","1139693265244",0.47,8.2,5.8,-46,-49,-62,-56.6546902475314,-56,-55,-68,1,"0.47-8.2",0,1.91632065993339,5.2581008511063
"42","1139693265496",0.47,8.2,5.8,-47,-52,-60,-56.6546902475314,-58,-49,-76,1,"0.47-8.2",0,1.32959238911652,4.6234309445064
"43","1139693265748",0.47,8.2,5.8,-47,-49,-59,-72,-54.8630723149337,-45,-72,1,"0.47-8.2",0,1.90831315801666,8.35853082503812
"44","1139693266000",0.47,8.2,5.8,-45,-48,-61.5,-56.6546902475314,-54.8630723149337,-55,-67,2,"0.47-8.2",0,1.57991812735134,5.30503817439438
"45","1139693266252",0.47,8.2,5.8,-56.4354204773103,-48,-61,-71,-56,-54,-71,1,"0.47-8.2",0,1.98515104897614,8.58521315314411
"46","1139693266504",0.47,8.2,5.8,-46,-48,-63,-72,-56,-52,-76,0,"0.47-8.2",0,0.589706611942831,6.66048458701021
"47","1139693266756",0.47,8.2,5.8,-47,-49,-63,-71,-67,-49,-76,0,"0.47-8.2",0,0.837786826823549,8.4757036918992
"48","1139693267008",0.47,8.2,5.8,-44,-48,-63,-76,-54.8630723149337,-47,-74,1,"0.47-8.2",0,1.11605331913985,8.9326438200039
"49","1139693267261",0.47,8.2,5.8,-46.5,-48,-60.0102496192809,-76,-68,-51,-76,1,"0.47-8.2",0,0.57780714175372,6.85199891978726
"50","1139693267512",0.47,8.2,5.8,-56.4354204773103,-49,-60,-67,-58,-66.2612341491531,-68,2,"0.47-8.2",0,9.59276175316102,7.28349333877424
"51","1139693267765",0.47,8.2,5.8,-47,-49,-62,-72,-58,-54,-78,0,"0.47-8.2",0,0.828276403572333,6.56201615210401
"52","1139693268017",0.47,8.2,5.8,-46,-49,-60.0102496192809,-56.6546902475314,-58,-47,-78,2,"0.47-8.2",0,1.29630068720898,2.65478186674754
"53","1139693268269",0.47,8.2,5.8,-47,-49,-62,-67,-70,-51,-73,0,"0.47-8.2",0,0.459735035347338,8.05585220974554
"54","1139693268521",0.47,8.2,5.8,-47,-49,-62,-56.6546902475314,-57,-46,-72,1,"0.47-8.2",0,1.47024900123155,3.61046075602184
"55","1139693268773",0.47,8.2,5.8,-56.4354204773103,-49,-60,-69,-58,-45,-75,1,"0.47-8.2",0,1.67573764889621,8.6878059592211
"56","1139693269025",0.47,8.2,5.8,-46,-49,-60.0102496192809,-71,-57,-48,-74,1,"0.47-8.2",0,1.1208836079628,8.53572540469651
"57","1139693269277",0.47,8.2,5.8,-47,-52,-63,-71,-68,-52,-71,0,"0.47-8.2",0,0.430063635730295,8.800559872015
"58","1139693269529",0.47,8.2,5.8,-48,-49,-61,-76,-54.8630723149337,-54,-72,1,"0.47-8.2",0,0.850338768822046,6.46024723789371
"59","1139693269781",0.47,8.2,5.8,-44,-49,-75,-74,-68,-49,-77,0,"0.47-8.2",0,0.820164924089178,10.0900207376025
"60","1139693270033",0.47,8.2,5.8,-47,-51,-61,-74,-54.8630723149337,-52,-76,1,"0.47-8.2",0,0.717605311775399,6.98394871078798
"61","1139693270285",0.47,8.2,5.8,-46.5,-50,-62,-74,-59,-66.2612341491531,-73,1,"0.47-8.2",0,1.56958110713484,3.18466308557597
"62","1139693270537",0.47,8.2,5.8,-47,-50,-63,-75,-68,-54,-76,0,"0.47-8.2",0,0.416282580059699,7.38553812649229
"63","1139693270789",0.47,8.2,5.8,-43.5,-51,-63,-73,-54.8630723149337,-54,-72,1,"0.47-8.2",0,0.830049329613417,6.88858262938035
"64","1139693271041",0.47,8.2,5.8,-46,-49,-63,-69,-67,-46,-71,0,"0.47-8.2",0,1.00830013671562,8.40172403894467
"65","1139693271293",0.47,8.2,5.8,-45,-49,-63,-77,-56,-48,-75,0,"0.47-8.2",0,0.854709535956034,7.16069321065984
"66","1139693271545",0.47,8.2,5.8,-47,-49,-60.0102496192809,-76,-56,-52,-70,1,"0.47-8.2",0,1.25487038526093,6.6108212592764
"67","1139693271797",0.47,8.2,5.8,-46,-49,-60.0102496192809,-73,-56,-45,-75,1,"0.47-8.2",0,1.37818209910692,8.7810859044851
"68","1139693272049",0.47,8.2,5.8,-46,-50,-75,-73,-58,-50,-75,0,"0.47-8.2",0,0.846962471588547,11.2013677629992
"69","1139693272305",0.47,8.2,5.8,-46,-50,-75,-73,-54.8630723149337,-47,-73,1,"0.47-8.2",0,1.01226291494911,11.1974382062919
"70","1139693272557",0.47,8.2,5.8,-56.4354204773103,-49,-60,-74,-58,-51,-72,1,"0.47-8.2",0,1.40673192962989,7.30153514361638
"71","1139693272809",0.47,8.2,5.8,-45,-49,-60.0102496192809,-56.6546902475314,-54.8630723149337,-66.2612341491531,-71,4,"0.47-8.2",0,3.02900591606175,3.01792929102868
"72","1139693273061",0.47,8.2,5.8,-44.5,-49,-62,-74,-59,-53,-76,0,"0.47-8.2",0,0.69100647096887,6.77384064995189
"73","1139693273313",0.47,8.2,5.8,-56.4354204773103,-52,-76,-73,-58,-48,-75,1,"0.47-8.2",0,1.14849681971986,10.8440975213883
"74","1139693273565",0.47,8.2,5.8,-46,-52,-63,-56.6546902475314,-57,-66.2612341491531,-75,2,"0.47-8.2",0,1.74797544644142,3.773048025645
"75","1139693273817",0.47,8.2,5.8,-46.5,-52,-60.0102496192809,-72,-54.8630723149337,-46,-73,2,"0.47-8.2",0,1.99425756513201,8.37699650471439
"76","1139693274069",0.47,8.2,5.8,-48,-53,-60.0102496192809,-71,-54.8630723149337,-46,-76,2,"0.47-8.2",0,1.13287234243051,8.93653404600683
"77","1139693274321",0.47,8.2,5.8,-48,-49,-60,-76.5,-58,-49,-75,0,"0.47-8.2",0,0.973157540120339,6.98570659209853
"78","1139693274573",0.47,8.2,5.8,-48,-54,-63,-70,-54.8630723149337,-66.2612341491531,-76,2,"0.47-8.2",0,1.53018981567685,4.67543659128012
"79","1139693274825",0.47,8.2,5.8,-47,-49,-63,-56.6546902475314,-56,-49,-73,1,"0.47-8.2",0,1.19550879587368,4.45058657684154
"80","1139693275077",0.47,8.2,5.8,-46,-49,-63,-56.6546902475314,-54.8630723149337,-56,-76,2,"0.47-8.2",0,1.39685939592032,3.9423677979958
"81","1139693275333",0.47,8.2,5.8,-56.4354204773103,-49,-63,-72,-54.8630723149337,-54,-74,2,"0.47-8.2",0,1.12788482182809,6.95624807020694
"82","1139693275585",0.47,8.2,5.8,-47,-49,-64,-56.6546902475314,-58,-49,-73,1,"0.47-8.2",0,1.18240591224299,3.61775011962346
"83","1139693275837",0.47,8.2,5.8,-46,-49,-60,-56.6546902475314,-58,-47,-76,1,"0.47-8.2",0,1.30594149823228,2.67618016493788
"84","1139693276089",0.47,8.2,5.8,-45,-49,-75,-77,-58,-44,-76,0,"0.47-8.2",0,1.00800240940055,9.72146790290132
"85","1139693276341",0.47,8.2,5.8,-45,-52,-60.0102496192809,-72,-54.8630723149337,-50,-74,2,"0.47-8.2",0,1.36644263447925,7.2029413384227
"86","1139693276593",0.47,8.2,5.8,-45,-49,-63,-71,-58,-53,-70,0,"0.47-8.2",0,0.842399335903853,6.3481729429686
"87","1139693276845",0.47,8.2,5.8,-47,-49,-63,-56.6546902475314,-58,-46,-75,1,"0.47-8.2",0,1.44709923443629,2.4830998938258
"88","1139693277097",0.47,8.2,5.8,-46.5,-49,-62,-71,-54.8630723149337,-47,-77,1,"0.47-8.2",0,1.12566902406519,8.65381160759251
"89","1139693277349",0.47,8.2,5.8,-46,-49,-63,-76,-58,-51,-73,0,"0.47-8.2",0,0.833116203890908,7.01695932041417
"90","1139693277601",0.47,8.2,5.8,-46.5,-52,-60.0102496192809,-56.6546902475314,-68,-54,-75,2,"0.47-8.2",0,0.866032305000458,3.58389168060252
"91","1139693277853",0.47,8.2,5.8,-47,-52,-63,-72,-58,-47,-72,0,"0.47-8.2",0,1.34321186348789,9.17330364609208
"92","1139693278105",0.47,8.2,5.8,-47,-49,-63,-72,-69,-50,-76,0,"0.47-8.2",0,0.82299389427902,8.79426518650559
"93","1139693278357",0.47,8.2,5.8,-44.5,-49,-62,-56.6546902475314,-58,-46,-73,1,"0.47-8.2",0,1.47385047395321,3.41753086063667
"94","1139693278609",0.47,8.2,5.8,-46,-50,-63,-71,-58,-48,-75,0,"0.47-8.2",0,0.772396665922843,8.65056102347214
"95","1139693278861",0.47,8.2,5.8,-44,-49,-62,-56.6546902475314,-69,-53,-73,1,"0.47-8.2",0,0.831071817805498,3.51185842855342
"96","1139693279113",0.47,8.2,5.8,-45,-49,-63,-73,-58,-50,-70,0,"0.47-8.2",0,1.11779680102951,6.75400057001427
"97","1139693279365",0.47,8.2,5.8,-46,-49,-62,-73,-57,-53,-75.5,0,"0.47-8.2",0,0.819882217844282,6.69918952720018
"98","1139693279617",0.47,8.2,5.8,-45,-49,-73,-73,-54.8630723149337,-45,-75,1,"0.47-8.2",0,1.02166471029169,9.60128180214191
"99","1139693279869",0.47,8.2,5.8,-45,-49,-62,-69,-58,-53,-76,0,"0.47-8.2",0,0.589174263393384,6.38749927653713
"100","1139693280121",0.47,8.2,5.8,-56.4354204773103,-49,-61,-73,-56,-47,-73,1,"0.47-8.2",0,1.54879559884253,7.17150750379915
"101","1139693280373",0.47,8.2,5.8,-45,-50,-63,-73,-68,-66.2612341491531,-77,1,"0.47-8.2",0,0.462837403768391,6.98735441500661
"102","1139693280625",0.47,8.2,5.8,-45,-50,-63,-74,-56,-53,-78,0,"0.47-8.2",0,0.827211964494674,6.90515003674047
"103","1139693280877",0.47,8.2,5.8,-44,-49,-63,-69,-54.8630723149337,-52,-76,1,"0.47-8.2",0,0.849626827853722,6.70760306539615
"104","1139693281129",0.47,8.2,5.8,-56.4354204773103,-49,-62,-56.6546902475314,-58,-50,-70,2,"0.47-8.2",0,1.69502114642463,6.6000952645491
