,ActualX,ActualY,predx,predy
1,0.47,8.2,1.36517336621079,8.47709022237664
2,0.47,8.2,1.20685494703775,3.61284552460685
3,0.47,8.2,0.864147176853033,11.2449298638192
4,0.47,8.2,10.999684258753,5.95582758064252
5,0.47,8.2,3.65481915307181,3.02736945286929
6,0.47,8.2,1.1139492848845,8.64332643399141
7,0.47,8.2,0.558094436650388,9.89483945073895
8,0.47,8.2,0.842741930834127,9.5834892463516
9,0.47,8.2,0.805082905256988,10.058309202606
10,0.47,8.2,1.09007910051534,8.93215087632803
11,0.47,8.2,0.970772109898447,8.59701061657681
12,0.47,8.2,1.19510380619183,2.85886386272025
13,0.47,8.2,1.11036339784491,8.95686952583151
14,0.47,8.2,1.4347088610829,3.83161225929504
15,0.47,8.2,1.18332445378672,4.05737594611913
16,0.47,8.2,1.11341729934272,8.82942652061111
17,0.47,8.2,3.65620746827991,3.7353172167951
18,0.47,8.2,1.4900773018651,6.48738437042055
19,0.47,8.2,1.69118917965702,7.2414554747808
20,0.47,8.2,1.44987230607966,3.59305210053514
21,0.47,8.2,0.709083976253971,4.38475325935529
22,0.47,8.2,0.812883895291384,11.6576543737383
23,0.47,8.2,0.833477884561747,6.74128944325349
24,0.47,8.2,1.40508761875247,7.90601895868997
25,0.47,8.2,1.10909484280068,4.69317637598797
26,0.47,8.2,0.87514678894136,8.90454270280989
27,0.47,8.2,0.86005049182217,7.7184372548461
28,0.47,8.2,3.97800026513918,3.74311521447706
29,0.47,8.2,1.17053901920261,9.40139611723381
30,0.47,8.2,0.889347678511365,7.88131582676436
31,0.47,8.2,1.0349206623095,2.65227127604421
32,0.47,8.2,0.446187068168924,6.9633551840996
33,0.47,8.2,1.15222075817448,5.26534467197862
34,0.47,8.2,1.11363611485271,8.67412308622976
35,0.47,8.2,2.25641469416026,3.84568334932106
36,0.47,8.2,1.11617974943602,9.20276192149347
37,0.47,8.2,1.00566150054565,8.74460584319942
38,0.47,8.2,0.699518936876164,6.72056179259969
39,0.47,8.2,0.569061961525282,6.98527587213458
40,0.47,8.2,0.845033665612206,9.11635660532579
41,0.47,8.2,1.91632065993339,5.2581008511063
42,0.47,8.2,1.32959238911652,4.6234309445064
43,0.47,8.2,1.90831315801666,8.35853082503812
44,0.47,8.2,1.57991812735134,5.30503817439438
45,0.47,8.2,1.98515104897614,8.58521315314411
46,0.47,8.2,0.589706611942831,6.66048458701021
47,0.47,8.2,0.837786826823549,8.4757036918992
48,0.47,8.2,1.11605331913985,8.9326438200039
49,0.47,8.2,0.57780714175372,6.85199891978726
50,0.47,8.2,9.59276175316102,7.28349333877424
51,0.47,8.2,0.828276403572333,6.56201615210401
52,0.47,8.2,1.29630068720898,2.65478186674754
53,0.47,8.2,0.459735035347338,8.05585220974554
54,0.47,8.2,1.47024900123155,3.61046075602184
55,0.47,8.2,1.67573764889621,8.6878059592211
56,0.47,8.2,1.1208836079628,8.53572540469651
57,0.47,8.2,0.430063635730295,8.800559872015
58,0.47,8.2,0.850338768822046,6.46024723789371
59,0.47,8.2,0.820164924089178,10.0900207376025
60,0.47,8.2,0.717605311775399,6.98394871078798
61,0.47,8.2,1.56958110713484,3.18466308557597
62,0.47,8.2,0.416282580059699,7.38553812649229
63,0.47,8.2,0.830049329613417,6.88858262938035
64,0.47,8.2,1.00830013671562,8.40172403894467
65,0.47,8.2,0.854709535956034,7.16069321065984
66,0.47,8.2,1.25487038526093,6.6108212592764
67,0.47,8.2,1.37818209910692,8.7810859044851
68,0.47,8.2,0.846962471588547,11.2013677629992
69,0.47,8.2,1.01226291494911,11.1974382062919
70,0.47,8.2,1.40673192962989,7.30153514361638
71,0.47,8.2,3.02900591606175,3.01792929102868
72,0.47,8.2,0.69100647096887,6.77384064995189
73,0.47,8.2,1.14849681971986,10.8440975213883
74,0.47,8.2,1.74797544644142,3.773048025645
75,0.47,8.2,1.99425756513201,8.37699650471439
76,0.47,8.2,1.13287234243051,8.93653404600683
77,0.47,8.2,0.973157540120339,6.98570659209853
78,0.47,8.2,1.53018981567685,4.67543659128012
79,0.47,8.2,1.19550879587368,4.45058657684154
80,0.47,8.2,1.39685939592032,3.9423677979958
81,0.47,8.2,1.12788482182809,6.95624807020694
82,0.47,8.2,1.18240591224299,3.61775011962346
83,0.47,8.2,1.30594149823228,2.67618016493788
84,0.47,8.2,1.00800240940055,9.72146790290132
85,0.47,8.2,1.36644263447925,7.2029413384227
86,0.47,8.2,0.842399335903853,6.3481729429686
87,0.47,8.2,1.44709923443629,2.4830998938258
88,0.47,8.2,1.12566902406519,8.65381160759251
89,0.47,8.2,0.833116203890908,7.01695932041417
90,0.47,8.2,0.866032305000458,3.58389168060252
91,0.47,8.2,1.34321186348789,9.17330364609208
92,0.47,8.2,0.82299389427902,8.79426518650559
93,0.47,8.2,1.47385047395321,3.41753086063667
94,0.47,8.2,0.772396665922843,8.65056102347214
95,0.47,8.2,0.831071817805498,3.51185842855342
96,0.47,8.2,1.11779680102951,6.75400057001427
97,0.47,8.2,0.819882217844282,6.69918952720018
98,0.47,8.2,1.02166471029169,9.60128180214191
99,0.47,8.2,0.589174263393384,6.38749927653713
100,0.47,8.2,1.54879559884253,7.17150750379915
101,0.47,8.2,0.462837403768391,6.98735441500661
102,0.47,8.2,0.827211964494674,6.90515003674047
103,0.47,8.2,0.849626827853722,6.70760306539615
104,0.47,8.2,1.69502114642463,6.6000952645491
105,0.47,8.2,0.961173956706545,6.81137722771178
106,0.47,8.2,1.1265704366415,8.87429847110599
107,0.47,8.2,1.15606884411184,9.07880998054075
108,0.47,8.2,1.78256288810583,8.44158428146731
109,0.47,8.2,1.28449051578662,4.61749436857107
110,0.47,8.2,1.13036545160971,8.76534877073997
111,0.78,10.94,0.788987252299045,7.86893236644064
112,0.78,10.94,0.719052882875131,5.94851763711948
113,0.78,10.94,0.7189309311378,5.72817621398249
114,0.78,10.94,0.71802987561989,5.60940921067542
115,0.78,10.94,0.462751163251412,3.92080815127661
116,0.78,10.94,0.829061131932261,4.90811374556261
117,0.78,10.94,1.1395281248332,5.08705736938016
118,0.78,10.94,1.39669165369238,3.46993547885027
119,0.78,10.94,0.916951326173301,3.84371078908896
120,0.78,10.94,1.68399161883424,6.22402951099104
121,0.78,10.94,1.03707040739868,2.58033892027856
122,0.78,10.94,0,9.16365346284181
123,0.78,10.94,1.57634282507714,6.27449276638106
124,0.78,10.94,0.531236571687256,6.52524019439996
125,0.78,10.94,1.14204248705328,3.21956853586384
126,0.78,10.94,2.07698581336025,4.83024155535836
127,0.78,10.94,0.549982171123613,6.90430155774319
128,0.78,10.94,1.01200759648873,3.23004084607342
129,0.78,10.94,1.16112778717018,6.95012121311119
130,0.78,10.94,0.245459481180125,9.42011889072739
131,0.78,10.94,0.434991750805911,5.38326642173591
132,0.78,10.94,0.868010849821419,7.77613130998166
133,0.78,10.94,0.897173197651704,3.33603222405432
134,0.78,10.94,0.553227952895845,9.51347061406469
135,0.78,10.94,0.802181938741,9.80635903356767
136,0.78,10.94,0.968295841505781,8.58478369002385
137,0.78,10.94,1.56645927850226,4.58172351780762
138,0.78,10.94,0.663118264451011,10.021379295933
139,0.78,10.94,0.966273760143234,9.57206092000422
140,0.78,10.94,0.987499326401076,7.94235940343509
141,0.78,10.94,1.45555790606451,4.67674968779002
142,0.78,10.94,0.56890236998884,4.18300224179246
143,0.78,10.94,1.46127329588299,7.11152429233873
144,0.78,10.94,0.401555542102816,5.65388965680569
145,0.78,10.94,1.17270629333526,3.38540247979186
146,0.78,10.94,0.575753215419855,10.7232995111477
147,0.78,10.94,2.31115644771064,6.6146189448854
148,0.78,10.94,0.81698927200547,10.5676115590564
149,0.78,10.94,1.17599733834209,3.99735807552562
150,0.78,10.94,1.27278997530448,4.14864764478925
151,0.78,10.94,0.753148541770275,3.29051748891196
152,0.78,10.94,1.59954723668827,6.73921328384961
153,0.78,10.94,0.524652169835659,5.56153665604138
154,0.78,10.94,1.86853689262364,6.62572490092152
155,0.78,10.94,0.802726705706979,6.80530383544032
156,0.78,10.94,1.00279128299153,7.86886793374262
157,0.78,10.94,0.87735925400976,9.52524202801412
158,0.78,10.94,1.02802250379199,8.78011042663153
159,0.78,10.94,1.00718513921813,6.56692732956809
160,0.78,10.94,0.735342902815269,6.18151219447905
161,0.78,10.94,1.02897734402782,6.60279566185354
162,0.78,10.94,1.22724947378761,8.04034122805932
163,0.78,10.94,0.57370268187859,8.32006211899067
